"","month","value","source","iso3","tbase","method"
"1","Jan",5931.01953125,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"2","Jan",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"3","Jan",2388.08715820312,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"4","Jan",2603.7548828125,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"5","Jan",15189.376953125,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"6","Jan",24.0267448425293,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"7","Jan",4349.41162109375,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"8","Jan",12092.3935546875,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"9","Jan",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"10","Jan",8319.3701171875,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"11","Jan",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"12","Jan",89.5532913208008,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"13","Jan",118.755043029785,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"14","Jan",808.056945800781,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"15","Jan",10615.0029296875,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"16","Jan",151.494415283203,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"17","Jan",1942.20190429688,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"18","Jan",4649.1044921875,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"19","Jan",3850.96118164062,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"20","Jan",5103.818359375,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"21","Jan",8990.73046875,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"22","Jan",1295.88330078125,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"23","Jan",6788.84326171875,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"24","Jan",8720.73828125,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"25","Jan",3403.48803710938,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"26","Jan",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"27","Jan",10615.5,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"28","Jan",517.353759765625,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"29","Jan",4489.44677734375,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"30","Jan",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"31","Jan",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"32","Jan",12605.7080078125,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"33","Jan",477.509002685547,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"34","Jan",3.03594279289246,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"35","Jan",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"36","Jan",12671.7021484375,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"37","Jan",34.9117202758789,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"38","Jan",9709.619140625,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"39","Jan",2623.11694335938,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"40","Jan",1044.32690429688,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"41","Jan",8783.234375,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"42","Jan",29261.2578125,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"43","Jan",1167.23547363281,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"44","Jan",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"45","Jan",4874.806640625,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
"46","Jan",1977.02368164062,"CDDs_worldclim (1970-2000 avg.)","UGA",22,"UKMO"
"47","Jan",4274.20654296875,"CDDs_worldclim (1970-2000 avg.)","BFA",22,"UKMO"
"48","Jan",9678.99609375,"CDDs_worldclim (1970-2000 avg.)","NAM",22,"UKMO"
"49","Jan",146.282211303711,"CDDs_worldclim (1970-2000 avg.)","SWZ",22,"UKMO"
"50","Jan",2582.82666015625,"CDDs_worldclim (1970-2000 avg.)","ZMB",22,"UKMO"
"51","Jan",2581.4970703125,"CDDs_worldclim (1970-2000 avg.)","ZWE",22,"UKMO"
"52","Feb",6159.8154296875,"CDDs_worldclim (1970-2000 avg.)","AGO",22,"UKMO"
"53","Feb",0,"CDDs_worldclim (1970-2000 avg.)","BHR",22,"UKMO"
"54","Feb",3725.90625,"CDDs_worldclim (1970-2000 avg.)","BEN",22,"UKMO"
"55","Feb",3244.32080078125,"CDDs_worldclim (1970-2000 avg.)","COG",22,"UKMO"
"56","Feb",17686.22265625,"CDDs_worldclim (1970-2000 avg.)","COD",22,"UKMO"
"57","Feb",25.8887901306152,"CDDs_worldclim (1970-2000 avg.)","BDI",22,"UKMO"
"58","Feb",6091.37158203125,"CDDs_worldclim (1970-2000 avg.)","CMR",22,"UKMO"
"59","Feb",20413.095703125,"CDDs_worldclim (1970-2000 avg.)","TCD",22,"UKMO"
"60","Feb",0,"CDDs_worldclim (1970-2000 avg.)","COM",22,"UKMO"
"61","Feb",11005.123046875,"CDDs_worldclim (1970-2000 avg.)","CAF",22,"UKMO"
"62","Feb",0,"CDDs_worldclim (1970-2000 avg.)","CPV",22,"UKMO"
"63","Feb",117.036956787109,"CDDs_worldclim (1970-2000 avg.)","DJI",22,"UKMO"
"64","Feb",154.684600830078,"CDDs_worldclim (1970-2000 avg.)","GNQ",22,"UKMO"
"65","Feb",1049.67687988281,"CDDs_worldclim (1970-2000 avg.)","ERI",22,"UKMO"
"66","Feb",13486.8779296875,"CDDs_worldclim (1970-2000 avg.)","ETH",22,"UKMO"
"67","Feb",220.990127563477,"CDDs_worldclim (1970-2000 avg.)","GMB",22,"UKMO"
"68","Feb",2411.03881835938,"CDDs_worldclim (1970-2000 avg.)","GAB",22,"UKMO"
"69","Feb",6960.96435546875,"CDDs_worldclim (1970-2000 avg.)","GHA",22,"UKMO"
"70","Feb",5381.8291015625,"CDDs_worldclim (1970-2000 avg.)","GIN",22,"UKMO"
"71","Feb",7504.0810546875,"CDDs_worldclim (1970-2000 avg.)","CIV",22,"UKMO"
"72","Feb",10802.1376953125,"CDDs_worldclim (1970-2000 avg.)","KEN",22,"UKMO"
"73","Feb",1564.04797363281,"CDDs_worldclim (1970-2000 avg.)","LBR",22,"UKMO"
"74","Feb",6745.20263671875,"CDDs_worldclim (1970-2000 avg.)","MDG",22,"UKMO"
"75","Feb",16818.26953125,"CDDs_worldclim (1970-2000 avg.)","MLI",22,"UKMO"
"76","Feb",8798.705078125,"CDDs_worldclim (1970-2000 avg.)","MRT",22,"UKMO"
"77","Feb",0,"CDDs_worldclim (1970-2000 avg.)","MLT",22,"UKMO"
"78","Feb",10286.421875,"CDDs_worldclim (1970-2000 avg.)","MOZ",22,"UKMO"
"79","Feb",510.827178955078,"CDDs_worldclim (1970-2000 avg.)","MWI",22,"UKMO"
"80","Feb",10411.2880859375,"CDDs_worldclim (1970-2000 avg.)","NER",22,"UKMO"
"81","Feb",0,"CDDs_worldclim (1970-2000 avg.)","MYT",22,"UKMO"
"82","Feb",0,"CDDs_worldclim (1970-2000 avg.)","ATF",22,"UKMO"
"83","Feb",20028.755859375,"CDDs_worldclim (1970-2000 avg.)","NGA",22,"UKMO"
"84","Feb",674.306030273438,"CDDs_worldclim (1970-2000 avg.)","GNB",22,"UKMO"
"85","Feb",3.12410712242126,"CDDs_worldclim (1970-2000 avg.)","RWA",22,"UKMO"
"86","Feb",0,"CDDs_worldclim (1970-2000 avg.)","SYC",22,"UKMO"
"87","Feb",10723.1396484375,"CDDs_worldclim (1970-2000 avg.)","ZAF",22,"UKMO"
"88","Feb",14.0371761322021,"CDDs_worldclim (1970-2000 avg.)","LSO",22,"UKMO"
"89","Feb",8496.9921875,"CDDs_worldclim (1970-2000 avg.)","BWA",22,"UKMO"
"90","Feb",4296.16357421875,"CDDs_worldclim (1970-2000 avg.)","SEN",22,"UKMO"
"91","Feb",1486.41979980469,"CDDs_worldclim (1970-2000 avg.)","SLE",22,"UKMO"
"92","Feb",10769.71484375,"CDDs_worldclim (1970-2000 avg.)","SOM",22,"UKMO"
"93","Feb",41231.09375,"CDDs_worldclim (1970-2000 avg.)","SDN",22,"UKMO"
"94","Feb",1679.939453125,"CDDs_worldclim (1970-2000 avg.)","TGO",22,"UKMO"
"95","Feb",0,"CDDs_worldclim (1970-2000 avg.)","STP",22,"UKMO"
"96","Feb",5320.2783203125,"CDDs_worldclim (1970-2000 avg.)","TZA",22,"UKMO"
