,2025,2030
1.Population_Grid,310941825.42465293,515403017.8181815
1.Population_SA_Diesel,57165657.13183661,130254052.72727272
1.Population_SA_PV,422786424.93911034,610584274.3636348
1.Population_MG_Diesel,321043.867192087,354980.18181818206
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17128993.163685817,251102466.20722702
2.New_Connections_SA_Diesel,19478417.58015333,30919126.569648493
2.New_Connections_SA_PV,276835918.12472564,292340361.32453996
2.New_Connections_MG_Diesel,44280.041013273934,82092.89470490813
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,535134.8345193331,9960113.885231975
3.Capacity_SA_Diesel,495280.19776597753,836727.2403310292
3.Capacity_SA_PV,5878393.063786804,7515957.992234393
3.Capacity_MG_Diesel,393.4739759519777,729.4803016840971
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,4750479445.502634,33213986933.465202
4.Investment_SA_Diesel,579408122.8490183,295054242.71197516
4.Investment_SA_PV,31394756363.37435,14923213285.99546
4.Investment_MG_Diesel,462630.6072549617,322438.6058883229
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,3077.307601,3077.307601
Max_cluster_area,3753.4308200000005,3753.4308200000005
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,10.44783601524393,3.9277285451726813
Max_investment_capita_cost,12077.627858799286,4505.051061248196
