,2025,2030
1.Population_Grid,314799768.69011843,737146005.2727265
1.Population_SA_Diesel,10000152.787586909,15196927.454545459
1.Population_SA_PV,405387907.26317066,503101840.18181777
1.Population_MG_Diesel,55417291.594846256,1151552.1818181819
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17326778.899531446,417760684.5087375
2.New_Connections_SA_Diesel,4149816.2793060415,3547592.272949569
2.New_Connections_SA_PV,246620881.19042966,160257487.67997476
2.New_Connections_MG_Diesel,27720329.767469298,1005850.4687046959
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,3820184.017047058,95595212.82811612
3.Capacity_SA_Diesel,379477.4300242069,281276.4190600368
3.Capacity_SA_PV,19472670.128147952,31858297.855433308
3.Capacity_MG_Diesel,7312850.630555585,292778.59712668223
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,9411724642.344313,221965782447.8709
4.Investment_SA_Diesel,443935183.3278545,99186206.46993858
4.Investment_SA_PV,97444363620.08154,53991018337.23456
4.Investment_MG_Diesel,13109954279.412699,201762572.6989806
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,3077.307601,3077.307601
Max_cluster_area,3753.4308200000005,3753.4308200000005
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,75.88314966865568,25.762845183405354
Max_investment_capita_cost,12116.574944482873,4543.998146931784
