,2025,2030
1.Population_Grid,313366086.2970476,690991745.8181819
1.Population_SA_Diesel,53389564.150696926,210761873.63636363
1.Population_SA_PV,373138174.67912954,345217473.99999946
1.Population_MG_Diesel,1202852.367080769,0
1.Population_MG_PV,48911506.767798536,9595853.27272727
1.Population_MG_Wind,0,29378.3636363636
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17383902.01460124,381291665.28584445
2.New_Connections_SA_Diesel,16793202.452641558,48766637.24566021
2.New_Connections_SA_PV,245810456.28432325,142481873.53257972
2.New_Connections_MG_Diesel,669474.0120186536,0
2.New_Connections_MG_PV,32245927.760378756,4405740.832526682
2.New_Connections_MG_Wind,0,29378.3636363636
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,882313.1211772489,20309400.782490086
3.Capacity_SA_Diesel,335864.0490528312,975332.7449132026
3.Capacity_SA_PV,5248497.960168274,3120296.866994134
3.Capacity_MG_Diesel,5921.92845660021,0
3.Capacity_MG_PV,728911.6942946268,355639.0583579444
3.Capacity_MG_Wind,0,3854.559821355064
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,2312389994.8319283,40729448439.60945
4.Investment_SA_Diesel,483383199.0700641,378502702.6335641
4.Investment_SA_PV,29470686708.77708,6098150638.737805
4.Investment_MG_Diesel,45785778.45180766,0
4.Investment_MG_PV,3928626343.9706683,452152857.17285246
4.Investment_MG_Wind,0,6517690.619077898
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,11.8658059010549,7.761509179459514
Max_investment_capita_cost,2164.079135137059,703.0150606221683
