,2025,2030
1.Population_Grid,318152895.44365877,1152199399.2727282
1.Population_SA_Diesel,175364.19675878037,127066.5454545454
1.Population_SA_PV,26542678.949210886,21500320.545454625
1.Population_MG_Diesel,13547527.926450763,2195376.9090909096
1.Population_MG_PV,426859083.4774326,80295574.54545464
1.Population_MG_Wind,0,278587.272727272
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17535803.175378744,530852846.69585747
2.New_Connections_SA_Diesel,53886.81009486331,29385.47296665463
2.New_Connections_SA_PV,15558780.817022696,7105283.46477471
2.New_Connections_MG_Diesel,5729132.9931488475,548663.7340164504
2.New_Connections_MG_PV,261882260.4709943,46414165.19904796
2.New_Connections_MG_Wind,0,205275.023707272
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,7050339.251173395,170562254.2989689
3.Capacity_SA_Diesel,7680.901185013441,3772.9701869607197
3.Capacity_SA_PV,3599235.5638273107,1811166.509759214
3.Capacity_MG_Diesel,812870.4149257449,56962.665412868904
3.Capacity_MG_PV,66595570.98060874,19010552.26928055
3.Capacity_MG_Wind,0,75858.02547778311
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,10919805054.70001,315656212459.94257
4.Investment_SA_Diesel,11054528.155137025,1464197.1369961356
4.Investment_SA_PV,16055786983.548498,2728277216.048738
4.Investment_MG_Diesel,1476185281.6033604,39968443.09688895
4.Investment_MG_PV,255775224990.4567,22963800994.50194
4.Investment_MG_Wind,0,107380333.42217366
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,121.12375453230979,32.214099472389634
Max_investment_capita_cost,6848.956934970341,1777.8722754994008
