,2025,2030
1.Population_Grid,315611842.89793,1074695046.7272723
1.Population_SA_Diesel,1013485.6009028793,961278.1818181819
1.Population_SA_PV,130162440.83557878,119017007.45454535
1.Population_MG_Diesel,12315328.291806528,1791040.3636363647
1.Population_MG_PV,326080921.1890525,59867095.27272729
1.Population_MG_Wind,212247.413519692,264857.0909090901
1.Population_MG_Hydro,0,0
1.Population_MG_Hybrid,0,0
2.New_Connections_Grid,17412576.890337292,521071163.31480724
2.New_Connections_SA_Diesel,305813.38881034736,221603.59439123876
2.New_Connections_SA_PV,69909648.2668192,30063203.637660317
2.New_Connections_MG_Diesel,5264722.0566945495,448042.1870524429
2.New_Connections_MG_PV,203416808.14934483,31270350.48618035
2.New_Connections_MG_Wind,91419.2009117382,84446.78941735193
2.New_Connections_MG_Hydro,0,0
2.New_Connections_MG_Hybrid,0,0
3.Capacity_Grid,3830686.0880244956,114259706.33463936
3.Capacity_SA_Diesel,22342.53068934045,16190.216941825667
3.Capacity_SA_PV,5615795.972640306,2771253.743175392
3.Capacity_MG_Diesel,708694.0334578913,29556.665763634603
3.Capacity_MG_PV,21232797.362480726,15337480.191362547
3.Capacity_MG_Wind,6515.95765070393,10242.398615265543
3.Capacity_MG_Hydro,0,0
3.Capacity_MG_Hybrid,0,0
4.Investment_Grid,6401298968.143548,224820312275.32718
4.Investment_SA_Diesel,32155879.709041547,6283025.870571045
4.Investment_SA_PV,28180408270.08098,4611335131.259689
4.Investment_MG_Diesel,1252555072.3510935,21705186.278958123
4.Investment_MG_PV,87768650109.61884,18388302980.284058
4.Investment_MG_Wind,36159996.95957483,16929927.855679486
4.Investment_MG_Hydro,0,0
4.Investment_MG_Hybrid,0,0
Min_cluster_pop_2030,0.0,0.0
Max_cluster_pop_2030,14236909.00812,15741838.0
Min_cluster_area,100,100
Max_cluster_area,100,100
Min_existing_grid_dist,0.300000134,0.300000134
Max_existing_grid_dist,970.5854841,970.5854841
Min_road_dist,0.008095495,0.008095495
Max_road_dist,487.3041233,487.3041233
Min_investment_capita_cost,83.3051176683962,24.807648613361643
Max_investment_capita_cost,7421.477118565692,2256.9059459412556
