"","ISO3",".id","id","continent","scenario","kwh","Country.x","Value","through_grid","through_mg","share_grid","share_mg","Country.y","Total_gen","Nuclear","Fossil","RES","Hydro","Non_hydro_res","Geothermal","VRES","Tidal","Solar","Wind","Biomass_waste","share_fossil","share_res","share_biomass","share_nuclear","ef","co2"
"1","AGO",1,"Baseline","Africa","kwh_S0",135688400,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,16656954248249.6
"2","AGO",1,"Baseline","Africa","kwh_S1",344285056,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,69086862858265.3
"3","AGO",1,"Baseline","Africa","kwh_S2",791802176,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,130370599089827
"4","AGO",2,"SSP245","Africa","kwh_S0",154240016,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,17132764640111.6
"5","AGO",2,"SSP245","Africa","kwh_S1",418375584,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,77319080931814.2
"6","AGO",2,"SSP245","Africa","kwh_S2",970764480,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,144791137678564
"7","AGO",3,"SSP370","Africa","kwh_S0",156972688,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,17171375571575.1
"8","AGO",3,"SSP370","Africa","kwh_S1",425215392,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,77752986642727.9
"9","AGO",3,"SSP370","Africa","kwh_S2",987382208,"Angola",386.509,9611109,89484.6484375,0.990775343068626,0.00922465693137384,"        Angola",10.676,0,2.882,7.794,7.576,0.218,0,0.018,0,0.018,0,0.2,0.269951292618958,0.730048707381042,0.0187336080929187,0,386.509,145654094066995
"10","BDI",1,"Baseline","Africa","kwh_S0",876372928,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,16656954248249.6
"11","BDI",1,"Baseline","Africa","kwh_S1",762757952,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,69086862858265.3
"12","BDI",1,"Baseline","Africa","kwh_S2",1512945920,NA,NA,5905340.5,0,1,0,"        Burundi",0.22,0,0.02,0.2,0.185,0.015,0,0.008,0,0.008,0,0.007,0.0909090909090909,0.909090909090909,0.0318181818181818,0,7.16893939393939,130370599089827
