"","scenario","id","co2"
"1","kwh_S0","Baseline",16.6569542482496
"2","kwh_S0","SSP245",17.1327646401116
"3","kwh_S0","SSP370",17.1713755715751
"4","kwh_S1","Baseline",69.0868628582653
"5","kwh_S1","SSP245",77.3190809318142
"6","kwh_S1","SSP370",77.7529866427279
"7","kwh_S2","Baseline",130.370599089827
"8","kwh_S2","SSP245",144.791137678564
"9","kwh_S2","SSP370",145.654094066995
"10","kwh_S3","Baseline",304.231613230307
"11","kwh_S3","SSP245",334.155887681755
"12","kwh_S3","SSP370",336.300312315793
"13","kwh_S4","Baseline",3.78577965130777
"14","kwh_S4","SSP245",3.79938567567427
"15","kwh_S4","SSP370",3.79938567567427
