"","scenario","id","co2"
"1","kwh_S0","Baseline",16.6569542482496
"2","kwh_S0","SSP245",17.1327646401116
"3","kwh_S0","SSP370",17.1713755715751
"4","kwh_S1","Baseline",50.7608891505383
"5","kwh_S1","SSP245",57.1820825786497
"6","kwh_S1","SSP370",57.5207092879567
"7","kwh_S2","Baseline",93.3602225596054
"8","kwh_S2","SSP245",104.250569837819
"9","kwh_S2","SSP370",104.89600656216
"10","kwh_S3","Baseline",212.736101646298
"11","kwh_S3","SSP245",234.397839069065
"12","kwh_S3","SSP370",235.934256119848
"13","kwh_S4","Baseline",3.78577965130777
"14","kwh_S4","SSP245",3.79938567567427
"15","kwh_S4","SSP370",3.79938567567427
