"","scenario","id","co2"
"1","kwh_S0","Baseline",17.5988682096711
"2","kwh_S0","SSP245",17.9479745990865
"3","kwh_S0","SSP370",17.9704275352289
"4","kwh_S1","Baseline",80.0995239757808
"5","kwh_S1","SSP245",88.5256171089012
"6","kwh_S1","SSP370",89.1984733143433
"7","kwh_S2","Baseline",148.465054902255
"8","kwh_S2","SSP245",163.089769280627
"9","kwh_S2","SSP370",164.302746986871
"10","kwh_S3","Baseline",341.710897190852
"11","kwh_S3","SSP245",372.238697787917
"12","kwh_S3","SSP370",374.981893831142
"13","kwh_S4","Baseline",3.79938567567427
"14","kwh_S4","SSP245",3.79938567567427
"15","kwh_S4","SSP370",3.79938567567427
