"",".id","ISO3","id","continent","scenario","kwh"
"1",1,"AGO","Baseline","Africa","kwh_S0",17031342451.9297
"2",1,"BDI","Baseline","Africa","kwh_S0",17031342451.9297
"3",1,"BEN","Baseline","Africa","kwh_S0",17031342451.9297
"4",1,"BFA","Baseline","Africa","kwh_S0",17031342451.9297
"5",1,"BWA","Baseline","Africa","kwh_S0",17031342451.9297
"6",1,"CAF","Baseline","Africa","kwh_S0",17031342451.9297
"7",1,"CIV","Baseline","Africa","kwh_S0",17031342451.9297
"8",1,"CMR","Baseline","Africa","kwh_S0",17031342451.9297
"9",1,"COD","Baseline","Africa","kwh_S0",17031342451.9297
"10",1,"COG","Baseline","Africa","kwh_S0",17031342451.9297
"11",1,"DJI","Baseline","Africa","kwh_S0",17031342451.9297
"12",1,"ERI","Baseline","Africa","kwh_S0",17031342451.9297
"13",1,"ETH","Baseline","Africa","kwh_S0",17031342451.9297
"14",1,"GAB","Baseline","Africa","kwh_S0",17031342451.9297
"15",1,"GHA","Baseline","Africa","kwh_S0",17031342451.9297
"16",1,"GIN","Baseline","Africa","kwh_S0",17031342451.9297
"17",1,"GMB","Baseline","Africa","kwh_S0",17031342451.9297
"18",1,"GNB","Baseline","Africa","kwh_S0",17031342451.9297
"19",1,"GNQ","Baseline","Africa","kwh_S0",17031342451.9297
"20",1,"KEN","Baseline","Africa","kwh_S0",17031342451.9297
"21",1,"LBR","Baseline","Africa","kwh_S0",17031342451.9297
"22",1,"LSO","Baseline","Africa","kwh_S0",17031342451.9297
"23",1,"MDG","Baseline","Africa","kwh_S0",17031342451.9297
"24",1,"MLI","Baseline","Africa","kwh_S0",17031342451.9297
"25",1,"MOZ","Baseline","Africa","kwh_S0",17031342451.9297
"26",1,"MRT","Baseline","Africa","kwh_S0",17031342451.9297
"27",1,"MWI","Baseline","Africa","kwh_S0",17031342451.9297
"28",1,"NAM","Baseline","Africa","kwh_S0",17031342451.9297
"29",1,"NER","Baseline","Africa","kwh_S0",17031342451.9297
"30",1,"NGA","Baseline","Africa","kwh_S0",17031342451.9297
"31",1,"RWA","Baseline","Africa","kwh_S0",17031342451.9297
"32",1,"ESH","Baseline","Africa","kwh_S0",17031342451.9297
"33",1,"SDN","Baseline","Africa","kwh_S0",17031342451.9297
"34",1,"SSD","Baseline","Africa","kwh_S0",17031342451.9297
"35",1,"SEN","Baseline","Africa","kwh_S0",17031342451.9297
"36",1,"SLE","Baseline","Africa","kwh_S0",17031342451.9297
"37",1,"SOM","Baseline","Africa","kwh_S0",17031342451.9297
"38",1,"SWZ","Baseline","Africa","kwh_S0",17031342451.9297
"39",1,"TCD","Baseline","Africa","kwh_S0",17031342451.9297
"40",1,"TGO","Baseline","Africa","kwh_S0",17031342451.9297
"41",1,"TZA","Baseline","Africa","kwh_S0",17031342451.9297
"42",1,"UGA","Baseline","Africa","kwh_S0",17031342451.9297
"43",1,"ZAF","Baseline","Africa","kwh_S0",17031342451.9297
"44",1,"ZMB","Baseline","Africa","kwh_S0",17031342451.9297
"45",1,"ZWE","Baseline","Africa","kwh_S0",17031342451.9297
"46",1,"AGO","Baseline","Africa","kwh_S1",34606518384
"47",1,"BDI","Baseline","Africa","kwh_S1",34606518384
