"","scenario","id","twh"
"1","kwh_S0","Baseline",21.0899057619922
"2","kwh_S0","SSP245",21.6818813929844
"3","kwh_S0","SSP370",21.7377481849609
"4","kwh_S1","Baseline",52.9004214015
"5","kwh_S1","SSP245",60.608734635625
"6","kwh_S1","SSP370",61.122853424875
"7","kwh_S2","Baseline",102.195962763375
"8","kwh_S2","SSP245",117.01796937475
"9","kwh_S2","SSP370",117.9782185315
"10","kwh_S3","Baseline",206.3250005595
"11","kwh_S3","SSP245",232.6434878805
"12","kwh_S3","SSP370",234.49275469875
"13","kwh_S4","Baseline",2.80380189457422
"14","kwh_S4","SSP245",2.83767947357422
"15","kwh_S4","SSP370",2.83767947357422
