"","scenario","id","twh"
"1","kwh_S0","Baseline",21.7065117435859
"2","kwh_S0","SSP245",22.2142494640391
"3","kwh_S0","SSP370",22.2559927261406
"4","kwh_S1","Baseline",51.242467636375
"5","kwh_S1","SSP245",56.528879203625
"6","kwh_S1","SSP370",56.935153576625
"7","kwh_S2","Baseline",99.393434921875
"8","kwh_S2","SSP245",109.31170769
"9","kwh_S2","SSP370",110.0203548375
"10","kwh_S3","Baseline",205.6774034055
"11","kwh_S3","SSP245",225.22872655
"12","kwh_S3","SSP370",226.7634125755
"13","kwh_S4","Baseline",2.83767947357422
"14","kwh_S4","SSP245",2.83767947357422
"15","kwh_S4","SSP370",2.83767947357422
